# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jul 24 09:41:31 2022
#
# User preference: *
#
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
k2_name,pl_name
K2-69 b,K2-69 b
K2-7 b,K2-7 b
K2-70 b,K2-70 b
K2-71 b,K2-71 b
K2-72 b,K2-72 b
K2-72 c,K2-72 c
K2-72 d,K2-72 d
K2-72 e,K2-72 e
K2-73 b,K2-73 b
K2-74 b,K2-74 b
K2-75 b,K2-75 b
K2-75 c,K2-75 c
K2-77 b,K2-77 b
K2-79 b,K2-79 b
K2-8 b,K2-8 b
K2-8 c,K2-8 c
K2-80 b,K2-80 b
K2-80 c,K2-80 c
K2-80 d,K2-80 d
K2-81 b,K2-81 b
K2-83 b,K2-83 b
K2-83 c,K2-83 c
K2-84 b,K2-84 b
K2-84 c,K2-84 c
K2-85 b,K2-85 b
K2-86 b,K2-86 b
K2-87 b,K2-87 b
K2-88 b,K2-88 b
K2-89 b,K2-89 b
K2-9 b,K2-9 b
K2-90 b,K2-90 b
K2-90 c,K2-90 c
K2-91 b,K2-91 b
K2-93 b,HIP 41378 b
K2-93 c,HIP 41378 c
K2-93 d,HIP 41378 d
K2-93 e,HIP 41378 e
K2-93 f,HIP 41378 f
K2-94 b,WASP-85 A b
K2-95 b,K2-95 b
K2-96 b,HD 3167 b
K2-96 c,HD 3167 c
K2-96 d,HD 3167 d
K2-97 b,K2-97 b
K2-98 b,K2-98 b
K2-99 b,K2-99 b
